Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,Alex Acker,SG,26,TOT,25,199,10.4,.448,.441,.132,.263,4.5,9.6,7.0,10.2,1.3,1.5,8.0,20.1,94,114,-0.1,0.1,0.0,-0.011
1,Alex Acker,SG,26,DET,7,20,16.0,.379,.364,.182,.364,0.0,12.0,5.9,9.1,5.5,3.9,0.0,28.3,86,98,0.0,0.0,0.0,.009
1,Alex Acker,SG,26,LAC,18,179,9.8,.460,.454,.123,.246,5.0,9.3,7.1,10.3,0.9,1.2,9.3,19.2,95,115,-0.1,0.0,0.0,-0.013
2,Hassan Adams,SG,24,TOR,12,52,0.4,.352,.308,.462,.000,2.3,13.4,7.9,2.8,1.0,1.5,20.4,17.4,63,111,-0.2,0.0,-0.2,-0.144
3,Arron Afflalo,SG,23,DET,74,1234,8.9,.548,.508,.237,.357,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,107,110,0.8,1.0,1.8,.069
4,Maurice Ager,SG,24,NJN,20,97,2.2,.365,.349,.186,.140,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,77,115,-0.3,0.0,-0.3,-0.133
5,Blake Ahearn,PG,24,SAS,3,19,12.9,.581,.500,.333,.667,0.0,6.2,3.1,16.0,2.9,0.0,12.7,20.1,113,104,0.0,0.0,0.1,.149
6,Alexis Ajinca,PF,20,CHA,31,182,7.0,.430,.362,.406,.029,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,86,104,-0.3,0.3,-0.1,-0.018
7,LaMarcus Aldridge,PF,23,POR,81,3004,19.1,.529,.486,.269,.023,9.5,15.6,12.5,9.3,1.4,2.0,8.0,23.7,115,108,6.1,3.3,9.5,.151
8,Joe Alexander,SF,22,MIL,59,716,10.1,.494,.449,.339,.188,6.9,12.3,9.5,9.5,1.1,3.4,15.6,20.9,96,108,-0.3,0.7,0.4,.030
9,Malik Allen,PF,30,MIL,49,579,7.3,.435,.429,.124,.006,6.8,14.5,10.5,9.5,0.6,1.7,10.0,15.4,96,110,-0.2,0.5,0.3,.024
10,Ray Allen,SG,33,BOS,79,2876,17.3,.624,.575,.239,.467,2.9,8.6,5.9,12.6,1.3,0.4,10.4,20.8,122,106,7.4,3.7,11.1,.186
11,Tony Allen,SG,27,BOS,46,887,12.9,.541,.493,.384,.095,3.2,10.7,7.1,12.0,3.2,2.1,18.8,21.5,98,100,-0.2,1.8,1.6,.085
12,Morris Almond,SG,23,UTA,25,255,7.3,.498,.438,.321,.210,4.2,12.6,8.4,4.2,0.8,1.2,14.8,19.1,94,110,-0.1,0.2,0.1,.010
13,Rafer Alston,PG,32,TOT,77,2447,13.8,.494,.454,.254,.404,1.6,8.8,5.3,27.0,2.3,0.3,13.3,19.9,105,104,1.7,3.7,5.3,.104
13,Rafer Alston,PG,32,HOU,48,1591,12.8,.484,.446,.209,.441,1.9,8.4,5.3,25.9,1.9,0.3,13.4,19.2,104,106,0.9,2.1,2.9,.088
13,Rafer Alston,PG,32,ORL,29,856,15.6,.509,.466,.332,.339,1.1,9.6,5.5,28.9,3.1,0.3,13.2,21.2,107,101,0.8,1.6,2.4,.135
14,Louis Amundson,PF,26,PHO,76,1044,13.3,.530,.536,.480,.004,14.9,15.3,15.1,3.7,1.5,4.6,15.6,15.1,108,109,0.8,1.0,1.8,.082
15,Chris Andersen,C,30,DEN,71,1460,18.1,.608,.551,.620,.034,13.4,21.6,17.6,3.2,1.4,9.3,15.7,13.4,120,101,2.5,2.8,5.4,.176
16,Ryan Anderson,PF,20,NJN,66,1312,13.6,.532,.478,.285,.464,9.3,19.0,14.1,6.4,1.8,1.2,12.1,18.6,108,109,1.3,1.2,2.5,.090
17,Carmelo Anthony,SF,24,DEN,66,2277,19.0,.532,.469,.388,.141,5.6,17.0,11.5,18.1,1.7,0.8,12.3,31.5,105,107,2.4,2.6,5.0,.105
18,Joel Anthony,C,26,MIA,65,1048,9.3,.521,.483,.390,.000,10.1,12.4,11.2,3.7,1.0,7.2,22.9,8.0,106,106,0.4,1.4,1.7,.079
19,Gilbert Arenas,PG,27,WAS,2,63,18.9,.433,.304,.696,.304,1.8,15.3,8.4,47.8,0.0,1.3,3.2,22.4,116,117,0.2,0.0,0.2,.115
20,Trevor Ariza,SF,23,LAL,82,1999,15.5,.544,.511,.284,.320,6.4,13.4,10.0,10.4,3.5,0.9,11.5,16.6,112,102,2.5,3.5,6.1,.146
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
21,Hilton Armstrong,C,24,NOH,70,1092,10.7,.585,.561,.398,.008,9.0,12.6,10.8,4.4,1.3,3.5,21.7,16.3,102,107,0.2,1.3,1.5,.068
22,Darrell Arthur,PF,20,MEM,76,1464,11.3,.456,.438,.138,.005,8.9,20.3,14.5,5.0,1.9,2.9,9.2,16.3,99,107,-0.1,1.8,1.7,.055
23,Chucky Atkins,PG,34,TOT,33,412,6.2,.408,.367,.142,.504,1.4,5.3,3.4,20.9,1.2,0.4,16.1,15.4,91,113,-0.3,0.2,-0.2,-0.018
23,Chucky Atkins,PG,34,DEN,14,115,8.9,.469,.426,.148,.630,0.0,5.9,3.0,34.9,0.9,0.7,25.8,15.0,99,113,0.0,0.1,0.0,.019
23,Chucky Atkins,PG,34,OKC,19,297,5.1,.389,.349,.140,.465,1.9,5.1,3.5,15.5,1.4,0.2,12.5,15.5,88,113,-0.3,0.1,-0.2,-0.032
24,D.J. Augustin,PG,21,CHA,72,1908,14.9,.587,.517,.375,.396,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,115,110,3.6,1.5,5.1,.128
25,Kelenna Azubuike,SF,25,GSW,74,2375,14.7,.562,.520,.271,.249,5.1,11.8,8.5,7.6,1.2,1.5,9.1,18.7,114,115,3.6,0.5,4.1,.083
26,Renaldo Balkman,PF,24,DEN,53,780,16.8,.585,.563,.330,.036,13.2,16.9,15.1,6.9,3.1,2.3,13.4,14.9,118,103,1.3,1.3,2.6,.162
27,Marcus Banks,PG,27,TOT,22,206,7.8,.431,.395,.316,.333,0.6,9.9,5.2,20.6,2.8,0.8,17.7,17.9,88,108,-0.3,0.2,0.0,-0.008
27,Marcus Banks,PG,27,MIA,16,166,8.7,.461,.410,.385,.359,0.0,10.9,5.4,19.8,3.2,1.0,19.4,16.0,91,106,-0.1,0.2,0.1,.023
27,Marcus Banks,PG,27,TOR,6,40,4.0,.362,.361,.167,.278,3.0,5.8,4.4,24.2,1.3,0.0,13.4,25.7,79,114,-0.1,0.0,-0.1,-0.139
28,Leandro Barbosa,SG,26,PHO,70,1705,19.4,.588,.542,.256,.316,2.4,9.7,6.2,14.9,2.4,0.3,9.9,24.2,117,112,4.0,1.0,5.0,.141
29,Jose Barea,SG,24,DAL,79,1600,13.4,.516,.491,.167,.276,2.6,10.0,6.4,26.4,1.2,0.2,14.9,20.2,106,112,1.2,1.0,2.2,.066
30,Andrea Bargnani,PF,23,TOR,78,2453,14.6,.559,.512,.278,.304,3.4,16.4,10.0,6.4,0.7,3.1,11.2,22.7,105,110,1.8,2.0,3.9,.076
31,Matt Barnes,PF,28,PHO,77,2082,12.6,.537,.510,.202,.506,4.6,18.5,11.8,14.2,1.2,0.9,15.0,18.3,107,111,1.6,1.4,3.0,.069
32,Brent Barry,SG,37,HOU,56,857,9.2,.575,.549,.116,.762,2.4,10.1,6.4,13.7,1.5,0.3,21.0,12.4,106,107,0.4,1.1,1.5,.082
33,Brandon Bass,C,23,DAL,81,1574,16.4,.571,.496,.413,.012,9.5,17.2,13.4,4.3,0.9,2.6,12.5,20.0,113,108,2.5,1.6,4.1,.124
34,Maceo Baston,PF,33,IND,27,217,12.3,.579,.543,.587,.022,11.1,15.4,13.2,4.6,1.4,3.4,17.2,14.0,112,108,0.2,0.2,0.5,.105
35,Tony Battie,PF,32,ORL,77,1202,11.9,.518,.492,.254,.028,8.9,17.0,13.0,4.2,1.1,1.5,11.4,15.6,106,102,0.7,2.1,2.8,.113
36,Shane Battier,SG,30,HOU,60,2031,10.7,.568,.538,.189,.669,3.1,12.9,8.2,10.0,1.3,1.9,11.3,9.9,118,105,2.3,2.9,5.2,.123
37,Nicolas Batum,SF,20,POR,79,1454,12.9,.555,.532,.144,.465,7.0,11.8,9.4,7.8,1.9,2.2,11.5,14.0,117,107,2.1,1.6,3.7,.123
38,Jerryd Bayless,PG,20,POR,53,655,8.2,.487,.384,.545,.143,1.5,9.4,5.4,18.2,1.4,0.2,19.3,20.9,97,111,-0.2,0.5,0.3,.019
39,Michael Beasley,PF,20,MIA,81,2009,17.2,.528,.490,.252,.085,6.5,19.8,13.1,7.7,1.1,1.5,10.2,27.7,103,108,1.2,2.2,3.4,.081
40,Marco Belinelli,SG,22,GSW,42,882,11.8,.547,.524,.164,.413,1.2,7.5,4.4,15.3,2.0,0.1,14.8,19.3,104,116,0.4,0.1,0.5,.028
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
41,Charlie Bell,SG,29,MIL,70,1783,9.8,.525,.497,.153,.458,2.0,7.1,4.4,13.3,1.5,0.3,12.0,16.0,105,111,0.9,1.2,2.2,.059
42,Raja Bell,SG,32,TOT,67,2315,10.7,.548,.520,.149,.396,2.2,10.5,6.4,10.1,1.1,0.3,10.6,16.3,109,111,2.0,1.6,3.6,.074
42,Raja Bell,SG,32,PHO,22,712,8.5,.569,.554,.119,.531,1.4,8.8,5.2,5.5,0.9,0.2,8.8,12.6,114,116,0.7,0.1,0.8,.054
42,Raja Bell,SG,32,CHA,45,1603,11.7,.541,.509,.160,.349,2.6,11.2,6.9,12.2,1.3,0.3,11.1,18.0,107,109,1.3,1.5,2.8,.083
43,Mike Bibby,PG,30,ATL,79,2740,16.3,.544,.518,.170,.426,1.6,10.3,6.0,24.2,1.9,0.3,10.6,20.6,113,109,4.4,2.5,6.9,.121
44,Andris Biedrins,C,22,GSW,62,1863,19.1,.585,.578,.405,.002,13.0,27.4,20.2,10.0,1.7,3.6,14.9,16.9,116,107,3.3,2.1,5.4,.139
45,Chauncey Billups,PG,32,TOT,79,2789,18.8,.592,.501,.467,.405,1.4,8.4,5.0,28.9,1.7,0.5,13.0,21.7,121,110,7.9,2.2,10.1,.174
45,Chauncey Billups,PG,32,DET,2,70,17.5,.492,.381,.476,.333,1.7,15.5,8.5,33.0,2.4,1.1,13.6,20.0,110,106,0.1,0.1,0.2,.124
45,Chauncey Billups,PG,32,DEN,77,2719,18.8,.595,.504,.467,.407,1.4,8.2,4.9,28.8,1.7,0.5,13.0,21.8,121,110,7.8,2.1,9.9,.176
46,Steve Blake,PG,28,POR,69,2188,14.4,.557,.536,.116,.507,1.6,8.4,4.9,25.1,1.7,0.1,13.7,17.0,118,110,4.1,1.7,5.8,.128
47,Andray Blatche,C,22,WAS,71,1703,15.0,.508,.475,.257,.033,8.5,17.9,13.0,11.8,1.6,3.5,14.3,21.9,101,111,0.2,1.2,1.4,.039
48,Mark Blount,C,33,MIA,20,207,8.7,.472,.455,.167,.346,5.7,18.1,11.8,3.1,0.3,2.8,14.3,22.2,88,109,-0.3,0.2,-0.1,-0.024
49,Keith Bogans,SG,28,TOT,65,1272,9.7,.521,.481,.176,.673,2.8,15.6,9.1,7.7,1.8,0.2,10.5,14.0,106,105,0.7,1.9,2.5,.096
49,Keith Bogans,SG,28,ORL,36,787,8.0,.509,.480,.137,.720,2.2,13.4,7.9,5.9,1.5,0.2,9.3,12.0,105,104,0.3,1.2,1.5,.093
49,Keith Bogans,SG,28,MIL,29,485,12.5,.535,.483,.221,.617,3.7,19.1,11.1,10.5,2.1,0.3,11.9,17.2,108,106,0.4,0.6,1.0,.101
50,Andrew Bogut,C,24,MIL,36,1124,16.2,.586,.577,.309,.000,11.8,27.7,19.4,10.7,1.1,2.7,19.3,17.8,107,105,1.0,1.6,2.6,.112
51,Matt Bonner,PF,28,SAS,81,1928,15.0,.611,.606,.043,.500,6.1,17.6,11.9,6.8,1.3,1.0,6.3,14.6,123,104,3.8,3.0,6.8,.169
52,Josh Boone,C,24,NJN,62,995,13.3,.513,.528,.397,.000,12.3,18.7,15.4,5.0,1.2,3.9,11.0,13.3,110,109,0.9,0.9,1.8,.089
53,Calvin Booth,C,32,TOT,8,56,11.4,.592,.500,.800,.000,10.1,12.6,11.5,0.0,0.9,2.7,6.9,11.6,127,115,0.1,0.0,0.1,.106
53,Calvin Booth,C,32,MIN,1,1,39.8,,,,,100.0,0.0,58.5,0.0,0.0,0.0,,0.0,215,120,0.0,0.0,0.0,.475
53,Calvin Booth,C,32,SAC,7,55,10.9,.592,.500,.800,.000,8.4,12.8,10.6,0.0,0.9,2.7,6.9,11.8,125,115,0.1,0.0,0.1,.099
54,Carlos Boozer,PF,27,UTA,37,1197,17.2,.523,.490,.271,.000,11.1,27.3,19.2,11.4,1.7,0.5,12.1,24.4,105,105,0.9,1.7,2.6,.105
55,Chris Bosh,C,24,TOR,77,2928,22.1,.569,.492,.489,.039,8.7,22.1,15.5,11.6,1.2,2.0,10.2,26.9,114,108,6.6,3.1,9.7,.159
56,Bruce Bowen,SF,37,SAS,80,1506,5.4,.539,.535,.139,.524,1.3,10.1,5.7,3.7,1.3,0.6,11.2,7.2,104,106,0.3,1.9,2.2,.070
57,Ryan Bowen,SF,33,NOH,21,219,10.8,.585,.579,.132,.000,5.5,7.7,6.6,6.5,3.5,1.9,11.1,9.9,118,105,0.2,0.3,0.6,.125
58,Elton Brand,PF,29,PHI,29,920,14.6,.484,.447,.296,.000,9.9,23.2,16.5,6.9,1.0,3.9,14.2,23.8,97,105,-0.4,1.3,0.9,.047
59,Corey Brewer,SF,22,MIN,15,307,11.2,.473,.439,.211,.133,6.6,12.3,9.3,12.9,2.6,0.8,11.7,16.3,102,110,0.1,0.3,0.3,.052
60,Ronnie Brewer,SF,23,UTA,81,2605,16.1,.565,.522,.425,.103,4.6,9.1,6.9,10.9,2.7,0.9,10.1,18.8,113,108,3.9,2.9,6.8,.126
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
61,Aaron Brooks,PG,24,HOU,80,1998,12.9,.521,.476,.220,.395,2.0,7.0,4.6,20.2,1.2,0.3,12.7,22.9,105,108,1.4,2.2,3.6,.086
62,Andre Brown,PF,27,CHA,4,41,-1.5,.254,.143,.286,.000,21.3,15.0,18.1,3.5,1.3,0.0,38.8,14.8,64,107,-0.2,0.0,-0.1,-0.122
63,Bobby Brown,SG-PG,24,TOT,68,931,8.9,.476,.454,.119,.361,1.7,4.8,3.3,20.9,1.2,0.2,14.3,21.3,96,118,-0.5,-0.1,-0.6,-0.029
63,Bobby Brown,SG,24,SAC,47,675,7.7,.468,.443,.138,.381,1.4,4.9,3.1,21.1,1.1,0.1,15.2,20.5,94,119,-0.5,-0.2,-0.7,-0.047
63,Bobby Brown,PG,24,MIN,21,256,11.9,.496,.478,.080,.319,2.6,4.8,3.7,20.5,1.2,0.6,12.0,23.4,101,115,0.0,0.1,0.1,.017
64,Dee Brown,PG,24,TOT,19,261,6.6,.449,.439,.102,.490,3.1,10.1,6.5,19.8,2.0,0.0,24.9,11.8,92,115,-0.2,0.1,-0.1,-0.018
64,Dee Brown,PG,24,WAS,17,233,7.8,.452,.455,.068,.455,3.4,10.9,7.1,20.6,2.3,0.0,23.6,11.6,94,114,-0.1,0.1,0.0,-0.006
64,Dee Brown,PG,24,PHO,2,28,-2.9,.425,.300,.400,.800,0.0,4.0,2.1,13.1,0.0,0.0,33.8,14.0,74,119,-0.1,0.0,-0.1,-0.116
65,Devin Brown,SG,30,NOH,63,869,9.7,.459,.399,.319,.310,4.3,12.2,8.3,10.2,2.0,0.5,13.1,22.8,92,108,-0.8,1.0,0.1,.007
66,Kwame Brown,C,26,DET,58,999,11.5,.546,.533,.722,.000,10.7,24.0,17.2,4.9,1.3,1.9,18.3,13.0,106,105,0.5,1.4,1.9,.093
67,Shannon Brown,SG,23,TOT,48,477,12.9,.554,.515,.236,.224,2.8,8.1,5.5,13.7,2.5,1.2,17.3,21.4,101,106,0.1,0.6,0.7,.067
67,Shannon Brown,SG,23,CHA,30,341,12.1,.529,.488,.244,.228,2.9,5.8,4.4,14.8,2.9,1.2,17.6,22.9,97,106,-0.1,0.4,0.3,.041
67,Shannon Brown,SG,23,LAL,18,136,15.0,.631,.595,.214,.214,2.5,13.9,8.3,10.9,1.5,1.1,16.4,17.8,114,106,0.2,0.2,0.4,.131
68,Kobe Bryant,SG,30,LAL,82,2960,24.4,.561,.502,.329,.196,3.5,12.8,8.2,23.8,2.1,1.0,9.7,32.2,115,106,8.6,4.0,12.7,.206
69,Greg Buckner,SF,32,MEM,63,878,6.3,.456,.425,.157,.321,4.4,13.9,9.1,9.9,1.8,0.7,18.3,11.1,94,110,-0.4,0.7,0.3,.019
70,Caron Butler,SG,28,WAS,67,2585,18.8,.552,.482,.371,.194,5.2,13.8,9.4,19.7,2.2,0.6,14.3,25.9,108,113,3.4,1.1,4.5,.083
71,Rasual Butler,SF,29,NOH,82,2614,11.8,.541,.521,.137,.447,2.3,10.2,6.3,4.8,1.1,2.0,6.5,16.8,109,109,2.2,2.4,4.6,.084
72,Andrew Bynum,C,21,LAL,50,1446,20.0,.598,.560,.428,.000,10.8,20.1,15.6,7.7,0.6,4.8,12.5,20.7,118,104,3.2,2.3,5.5,.184
73,Will Bynum,PG,26,DET,57,803,17.4,.520,.461,.348,.056,2.8,8.4,5.5,35.3,2.3,0.2,16.2,27.9,103,109,0.5,0.8,1.3,.078
74,Jose Calderon,PG,27,TOR,68,2333,18.8,.613,.561,.239,.314,0.8,8.9,4.9,41.0,1.7,0.2,16.7,16.9,123,112,6.2,1.3,7.5,.154
75,Marcus Camby,C,34,LAC,62,1925,18.7,.556,.513,.367,.008,9.4,32.7,20.7,10.8,1.4,5.1,13.9,15.8,112,104,2.3,2.9,5.2,.129
76,Brian Cardinal,PF,31,MIN,64,909,8.1,.515,.473,.207,.544,4.8,13.8,9.1,12.3,2.1,1.1,20.7,11.5,102,110,0.1,0.7,0.9,.045
77,Rodney Carney,SG,24,MIN,67,1199,12.1,.532,.509,.156,.534,3.4,9.1,6.1,3.6,2.0,1.9,8.7,18.6,105,111,0.7,0.8,1.5,.059
78,Matt Carroll,SG,28,TOT,55,616,5.5,.451,.418,.146,.310,1.4,12.2,6.8,7.2,1.8,0.8,15.3,16.4,86,108,-0.8,0.7,-0.1,-0.008
78,Matt Carroll,SG,28,CHA,34,475,7.0,.475,.449,.138,.326,1.3,12.9,7.2,8.4,2.1,0.9,15.1,17.1,90,106,-0.5,0.6,0.1,.015
78,Matt Carroll,SG,28,DAL,21,141,0.5,.351,.288,.182,.242,1.6,9.7,5.7,2.9,1.1,0.5,16.4,13.9,69,112,-0.3,0.1,-0.2,-0.084
79,Anthony Carter,PG,33,DEN,78,1787,10.8,.490,.460,.202,.228,2.7,10.4,6.7,29.9,2.7,0.6,26.9,14.3,98,107,-0.3,2.1,1.8,.047
80,Vince Carter,SG,32,NJN,80,2946,19.3,.545,.493,.305,.291,3.0,13.8,8.3,23.7,1.5,1.1,9.8,26.8,112,112,5.7,1.8,7.5,.123
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
81,Mario Chalmers,PG,22,MIA,82,2626,13.3,.548,.506,.292,.470,1.7,8.8,5.2,23.5,3.3,0.2,18.1,16.3,107,107,2.1,3.1,5.2,.095
82,Tyson Chandler,C,26,NOH,45,1445,13.4,.581,.565,.470,.000,13.7,19.2,16.4,2.4,0.6,3.3,17.0,13.7,113,107,1.7,1.7,3.4,.114
83,Wilson Chandler,SF,21,NYK,82,2735,12.9,.515,.481,.204,.298,3.5,14.7,8.9,9.9,1.3,2.0,10.8,20.5,103,110,1.0,2.1,3.1,.054
84,Speedy Claxton,PG,30,ATL,2,15,5.7,.317,.286,.286,.000,0.0,0.0,0.0,32.4,0.0,0.0,0.0,24.6,88,117,0.0,0.0,0.0,-0.083
85,Jarron Collins,C,30,UTA,26,201,5.8,.502,.457,.314,.000,11.9,10.1,11.0,4.9,0.5,0.4,18.4,10.9,105,112,0.1,0.1,0.2,.047
86,Jason Collins,C,30,MIN,31,422,3.3,.346,.314,.400,.000,7.5,12.1,9.7,3.7,1.1,2.4,12.7,10.1,84,112,-0.4,0.3,-0.2,-0.018
87,Mardy Collins,PG-SG,24,TOT,48,890,9.5,.470,.451,.186,.126,3.9,10.1,6.9,19.8,1.8,0.8,17.8,16.6,94,113,-0.5,0.4,-0.1,-0.003
87,Mardy Collins,SG,24,NYK,9,75,5.0,.371,.348,.391,.130,2.8,9.1,5.8,19.3,1.3,0.0,15.6,18.5,82,113,-0.2,0.0,-0.1,-0.077
87,Mardy Collins,PG,24,LAC,39,815,9.9,.481,.462,.165,.125,4.0,10.2,7.0,19.9,1.9,0.9,18.1,16.4,96,113,-0.3,0.4,0.1,.004
88,Nick Collison,C,28,OKC,71,1831,14.8,.599,.568,.318,.005,11.2,19.7,15.4,5.8,1.4,2.0,13.0,13.5,119,108,3.0,2.0,5.0,.130
89,Mike Conley,PG,21,MEM,82,2508,14.3,.548,.503,.270,.297,1.2,12.5,6.8,23.7,1.9,0.3,14.9,17.9,109,111,2.7,1.9,4.5,.086
90,Brian Cook,PF,28,TOT,30,171,7.6,.470,.454,.079,.395,4.8,16.1,10.6,5.1,0.9,1.3,14.2,24.8,88,103,-0.3,0.3,0.0,-0.001
90,Brian Cook,PF,28,ORL,21,146,7.6,.495,.475,.100,.417,4.8,15.8,10.4,4.7,1.1,0.0,14.9,23.3,91,104,-0.2,0.2,0.1,.019
